介護サービス別給付件数及び給付額の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,各年度末現在
年度,訪問介護件数（件）,訪問介護給付額（円）,訪問入浴介護件数（件）,訪問入浴介護給付額（円）,訪問看護件数（件）,訪問看護給付額（円）,訪問リハビリテーション件数（件）,訪問リハビリテーション給付額（円）,居宅療養管理指導件数（件）,居宅療養管理指導給付額（円）,通所介護件数（件）,通所介護給付額（円）,通所リハビリテーション件数（件）,通所リハビリテーション給付額（円）,短期入所生活介護件数（件）,短期入所生活介護給付額（円）,短期入所療養介護（老健）件数（件）,短期入所療養介護（老健）給付額（円）,福祉用具貸与件数（件）,福祉用具貸与給付額（円）,福祉用具購入費購入費件数（件）,福祉用具購入費給付額（円）,住宅改修費件数（件）,住宅改修費給付額（円）,特定施設入居者生活介護件数（件）,特定施設入居者生活介護給付額（円）,居宅介護支援件数（件）,居宅介護支援給付額（円）,定期巡回・随時対応型訪問介護看護件数（件）,定期巡回・随時対応型訪問介護看護給付額（円）,夜間対応型訪問介護件数（件）,夜間対応型訪問介護給付額（円）,地域密着型通所介護件数（件）,地域密着型通所介護給付額（円）,認知症対応型通所介護件数（件）,認知症対応型通所介護給付額（円）,小規模多機能型居宅介護件数（件）,小規模多機能型居宅介護給付額（円）,認知症対応型共同生活介護件数（件）,認知症対応型共同生活介護給付額（円）,地域密着型介護老人福祉施設入所者生活介護件数（件）,地域密着型介護老人福祉施設入所者生活介護給付額（円）,看護小規模多機能型居宅介護（件数）,看護小規模多機能型居宅介護（円）,介護老人福祉施設件数（件）,介護老人福祉施設給付額（円）,介護老人保健施設件数（件）,介護老人保健施設給付額（円）,介護療養型医療施設件数（件）,介護療養型医療施設給付額（円）,介護医務院（件数）,介護医務院（円）
2020,"19,643","1,090,541,027","1,599","102,760,709","15,570","633,561,492",713,"20,745,571","39,076","304,673,899","16,502","1,108,390,935","4,880","303,555,274","3,262","273,740,627",467,"40,332,018","39,491","505,822,428",753,"22,734,357",428,"34,494,358","5,657","985,104,677","52,621","684,604,069",594,"89,368,502",128,"2,196,063","5,871","337,698,385","1,820","194,624,039",699,"121,939,148","1,715","446,800,704",704,"178,855,320",114,"21,317,435","8,500","2,205,056,879","5,588","1,634,050,932",370,"129,921,346",112,"42,223,817"
2021,"20,428","1,119,625,415","1,696","106,299,642","17,073","681,196,848",782,"25,212,605","41,095","321,699,577","16,145","1,118,551,132","5,447","326,093,204","3,106","244,382,535",428,"37,250,842","41,165","534,297,206",721,"22,482,603",381,"29,454,399","5,744","1,004,067,984","54,624","739,894,842",616,"94,763,293",183,"3,989,191","6,778","368,188,006","1,816","195,260,893",871,"160,992,838","1,820","478,943,553",695,"180,067,059",123,"26,734,151","8,814","2,301,878,229","5,645","1,682,469,656",264,"84,278,297",204,"75,409,164"
2022,"21,298","1,147,970,983","1,563","93,874,751","17,146","676,112,143",801,"24,704,512","42,625","335,644,192","15,715","1,080,231,223","5,809","348,411,078","2,980","231,771,241",448,"39,530,473","41,673","538,383,514",667,"21,101,976",329,"29,304,735","6,075","1,082,677,981","55,058","751,473,083",681,"97,013,495",43,"852,495","7,189","366,455,861","1,810","188,063,068",828,"151,560,459","1,796","473,350,597",684,"176,883,336",129,"29,415,623","8,880","2,342,671,830","5,822","1,751,893,113",87,"27,678,165",223,"82,355,751"
2023,"21,596","1,197,303,675","1,602","99,196,578","17,691","711,797,504",888,"27,967,988","45,244","359,119,057","16,244","1,106,828,145","5,903","361,325,582","3,376","260,731,881",518,"44,122,226","42,393","555,113,197",738,"23,897,992",326,"27,842,341","6,664",1211325833,"56,514","773,130,995",850,"132,843,461",0,0,"7,772","399,386,324","1,951","211,966,212",876,"165,463,009","1,779","486,961,103",692,"179,880,976",156,"35,833,146","9,222","2,461,861,625","5,833","1,772,944,989",37,"12,364,165",243,"95,297,454"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：福祉保健部介護保険課「介護保険事業状況報告」介護保険給付決定状況の件数及び給付費より,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注1：定期巡回・随時対応型訪問介護看護は2013年度から事業所開設。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注2：通所介護のうち小規模事業所によるサービスは2016年度から地域密着型通所介護へ移行。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注3：介護医療院は2018年新設。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注4：介護医療院は2019年新設。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注5：介護療養型医療施設は2024年3月末廃止予定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
